Strategic.Area,InterZone,SAChangeScore,Indicator
Kirkcaldy,S02001788,-0.740794145199752,Attainment
Kirkcaldy,S02001789,-0.3018289744315612,Attainment
Kirkcaldy,S02001790,-0.3563304815783888,Attainment
Kirkcaldy,S02001791,-0.376510442189933,Attainment
Kirkcaldy,S02001792,0.8941950623122078,Attainment
Kirkcaldy,S02001793,0.7797552824510156,Attainment
Kirkcaldy,S02001794,-1.424033382059369,Attainment
Kirkcaldy,S02001795,-1.3386082140914226,Attainment
Kirkcaldy,S02001796,-0.16219286240309416,Attainment
Kirkcaldy,S02001780,1.1786384550145093,Child Poverty
Kirkcaldy,S02001781,-0.06488973636231793,Child Poverty
Kirkcaldy,S02001782,-2.161767061295336,Child Poverty
Kirkcaldy,S02001783,0.8077964473249658,Child Poverty
Kirkcaldy,S02001784,-0.2706430679433715,Child Poverty
Kirkcaldy,S02001785,-1.1632008082235332,Child Poverty
Kirkcaldy,S02001786,-1.5340171233459314,Child Poverty
Kirkcaldy,S02001787,0.35559279347098866,Child Poverty
Kirkcaldy,S02001788,0.6689510911637384,Child Poverty
Kirkcaldy,S02001789,0.33565096082235013,Child Poverty
Kirkcaldy,S02001790,0.7072085725341882,Child Poverty
Kirkcaldy,S02001791,1.1102925813052027,Child Poverty
Kirkcaldy,S02001792,0.8378084365032596,Child Poverty
Kirkcaldy,S02001793,0.16570919441312845,Child Poverty
Kirkcaldy,S02001794,-1.1544611686129223,Child Poverty
Kirkcaldy,S02001795,0.7989151900110212,Child Poverty
Kirkcaldy,S02001796,-0.6175847567799396,Child Poverty
Kirkcaldy,S02001780,-0.39951472112051745,Crime Rate
Kirkcaldy,S02001781,0.3282394955976615,Crime Rate
Kirkcaldy,S02001782,0.42959549357004995,Crime Rate
Kirkcaldy,S02001783,-0.8289238322782557,Crime Rate
Kirkcaldy,S02001784,0.37282846076280013,Crime Rate
Kirkcaldy,S02001785,-0.004951390768735767,Crime Rate
Kirkcaldy,S02001786,0.8140192635175556,Crime Rate
Kirkcaldy,S02001787,-0.9667570876483377,Crime Rate
Kirkcaldy,S02001788,0.9530454451326393,Crime Rate
Kirkcaldy,S02001789,-0.5789040086915979,Crime Rate
Kirkcaldy,S02001790,-0.6848721759606159,Crime Rate
Kirkcaldy,S02001791,2.797802078507183,Crime Rate
Kirkcaldy,S02001792,-0.8986380005854905,Crime Rate
Kirkcaldy,S02001793,-1.4503771320064307,Crime Rate
Kirkcaldy,S02001794,0.6373834172374465,Crime Rate
Kirkcaldy,S02001795,-0.0031346717517092434,Crime Rate
Kirkcaldy,S02001796,-0.5168406335136444,Crime Rate
Kirkcaldy,S02001780,2.034362695636673,Depopulation
Kirkcaldy,S02001781,-1.0514640995993567,Depopulation
Kirkcaldy,S02001782,-0.6797688085156556,Depopulation
Kirkcaldy,S02001783,0.28656273267621085,Depopulation
Kirkcaldy,S02001784,0.14746924928809227,Depopulation
Kirkcaldy,S02001785,-0.059676882885806116,Depopulation
Kirkcaldy,S02001786,-0.4431853956516102,Depopulation
Kirkcaldy,S02001787,-1.132518632817777,Depopulation
Kirkcaldy,S02001788,-1.236257147933408,Depopulation
Kirkcaldy,S02001789,-0.23965986437716147,Depopulation
Kirkcaldy,S02001790,-0.5956580140016128,Depopulation
Kirkcaldy,S02001791,-0.9804310138341158,Depopulation
Kirkcaldy,S02001792,1.9434630491165368,Depopulation
Kirkcaldy,S02001793,0.2653087128492799,Depopulation
Kirkcaldy,S02001794,0.04615753431489828,Depopulation
Kirkcaldy,S02001795,1.3569924359295185,Depopulation
Kirkcaldy,S02001796,0.33830344980529364,Depopulation
Kirkcaldy,S02001780,0.9168446593235443,Early Mortality
Kirkcaldy,S02001781,-0.8128339224128054,Early Mortality
Kirkcaldy,S02001782,-0.5944185189086195,Early Mortality
Kirkcaldy,S02001783,-0.2128957099739383,Early Mortality
Kirkcaldy,S02001784,0.3473438129800683,Early Mortality
Kirkcaldy,S02001785,-2.052937621937334,Early Mortality
Kirkcaldy,S02001786,0.8157404924130552,Early Mortality
Kirkcaldy,S02001787,1.0042824803837975,Early Mortality
Kirkcaldy,S02001788,0.8803606578787654,Early Mortality
Kirkcaldy,S02001789,-0.6603277899867465,Early Mortality
Kirkcaldy,S02001790,0.24865318801250996,Early Mortality
Kirkcaldy,S02001791,1.1434648189111691,Early Mortality
Kirkcaldy,S02001792,0.9326460070697418,Early Mortality
Kirkcaldy,S02001793,-1.5137832837899268,Early Mortality
Kirkcaldy,S02001794,0.9916415140159285,Early Mortality
Kirkcaldy,S02001795,-1.127882866022943,Early Mortality
Kirkcaldy,S02001796,-0.30589791795626653,Early Mortality
Kirkcaldy,S02001780,-1.2959870206109914,Emergency Admissions
Kirkcaldy,S02001781,-2.116483794742166,Emergency Admissions
Kirkcaldy,S02001782,1.6614006979792681,Emergency Admissions
Kirkcaldy,S02001783,0.5187500127379135,Emergency Admissions
Kirkcaldy,S02001784,-0.4006233074381983,Emergency Admissions
Kirkcaldy,S02001785,1.314633832494949,Emergency Admissions
Kirkcaldy,S02001786,0.17297009150755122,Emergency Admissions
Kirkcaldy,S02001787,0.43693729303055295,Emergency Admissions
Kirkcaldy,S02001788,-0.09249358585862201,Emergency Admissions
Kirkcaldy,S02001789,0.8686926871720145,Emergency Admissions
Kirkcaldy,S02001790,-0.6617710870038691,Emergency Admissions
Kirkcaldy,S02001791,0.6596252648397383,Emergency Admissions
Kirkcaldy,S02001792,0.4656899770400831,Emergency Admissions
Kirkcaldy,S02001793,-1.572555833773155,Emergency Admissions
Kirkcaldy,S02001794,0.007021362518232027,Emergency Admissions
Kirkcaldy,S02001795,-0.41609189499929256,Emergency Admissions
Kirkcaldy,S02001796,0.4502853051059925,Emergency Admissions
Kirkcaldy,S02001780,0.9268905474673318,Out of Work Benefits
Kirkcaldy,S02001781,-0.714634320128474,Out of Work Benefits
Kirkcaldy,S02001782,0.6366628375680696,Out of Work Benefits
