Strategic Area,InterZone,SAScore,Indicator
Kirkcaldy,S02001784,0.05710951569213273,Out of Work Benefits
Kirkcaldy,S02001788,0.4855355806625181,Out of Work Benefits
Kirkcaldy,S02001791,1.594464766259544,Out of Work Benefits
Kirkcaldy,S02001795,-1.9200908130513585,Out of Work Benefits
Kirkcaldy,S02001790,-1.126635010259397,Out of Work Benefits
Kirkcaldy,S02001793,-0.9422355196861106,Out of Work Benefits
Kirkcaldy,S02001792,1.0628793705452615,Out of Work Benefits
Kirkcaldy,S02001787,1.570173835205199,Out of Work Benefits
Kirkcaldy,S02001789,-0.6977083633424536,Out of Work Benefits
Kirkcaldy,S02001796,-0.8687854458399146,Out of Work Benefits
Kirkcaldy,S02001785,0.29820084227845234,Out of Work Benefits
Kirkcaldy,S02001786,-0.20391719619912677,Out of Work Benefits
Kirkcaldy,S02001780,-0.020512326188147224,Out of Work Benefits
Kirkcaldy,S02001781,0.6839648945469451,Out of Work Benefits
Kirkcaldy,S02001782,0.6279029227789646,Out of Work Benefits
Kirkcaldy,S02001794,0.7270644210485604,Positive Destinations
Kirkcaldy,S02001783,0.7270644210485604,Positive Destinations
Kirkcaldy,S02001784,-1.3147279191691332,Positive Destinations
Kirkcaldy,S02001788,0.7270644210485604,Positive Destinations
Kirkcaldy,S02001791,0.7270644210485604,Positive Destinations
Kirkcaldy,S02001795,0.5332478118658398,Positive Destinations
Kirkcaldy,S02001790,-0.8940682138096993,Positive Destinations
Kirkcaldy,S02001793,-1.8088598101332785,Positive Destinations
Kirkcaldy,S02001792,-0.8300000816838348,Positive Destinations
Kirkcaldy,S02001787,0.006921069442254863,Positive Destinations
Kirkcaldy,S02001789,-2.1272582118778023,Positive Destinations
Kirkcaldy,S02001796,0.7270644210485604,Positive Destinations
Kirkcaldy,S02001785,0.7270644210485604,Positive Destinations
Kirkcaldy,S02001786,0.7270644210485604,Positive Destinations
Kirkcaldy,S02001780,-0.0660812298412664,Positive Destinations
Kirkcaldy,S02001781,0.684311216818436,Positive Destinations
Kirkcaldy,S02001782,0.7270644210485604,Positive Destinations
Levenmouth,S02001817,1.0170872028948637,Attainment
Levenmouth,S02001819,0.5042433024900275,Attainment
Levenmouth,S02001814,-0.4246434387990769,Attainment
Levenmouth,S02001816,-1.2974932947050792,Attainment
Levenmouth,S02001818,-0.22368204525350982,Attainment
Levenmouth,S02001812,1.0835645048188822,Attainment
Levenmouth,S02001813,-0.47946116726126387,Attainment
Levenmouth,S02001815,-1.2820432515436786,Attainment
Levenmouth,S02001821,-0.8400434514886801,Attainment
Levenmouth,S02001820,1.7320008213188265,Attainment
Levenmouth,S02001797,0.21047081752869845,Attainment
Levenmouth,S02001817,0.31825793222403054,Child Poverty
Levenmouth,S02001819,0.1922555040317328,Child Poverty
Levenmouth,S02001814,-1.0898584650861616,Child Poverty
