year,la,Crime Rate,Child Poverty,Out of Work Benefits,Attainment,Positive Destinations,Emergency Admissions,Depopulation,Early Mortality
2014,Argyll and Bute,0.193623102,0.141963033,,0.196710694,,0.200395787,-0.04285411,0.195085883
2014,Clackmannanshire,0.226931985,0.216380507,,0.239774897,,0.138730779,-0.052913437,0.224899275
2014,Dumfries and Galloway,0.188976181,0.196651061,,0.202903545,,0.165566906,-0.042968836,0.199440496
2014,Dundee City,0.27344771,0.291453258,,0.324280097,,0.212683789,-0.054383896,0.232615769
2014,East Ayrshire,0.240578,0.265050409,,0.249455575,,0.22501448,-0.102208476,0.245075926
2014,East Dunbartonshire,0.326473951,0.335285759,,0.324591755,,0.317585381,0.066452093,0.351375621
2014,East Lothian,0.221422688,0.234002514,,0.24179132,,0.213782982,-0.011605192,0.213008059
2014,East Renfrewshire,0.383401378,0.391322841,,0.410792678,,0.369008755,0.054341244,0.385109666
2014,"Edinburgh, City of",0.396944051,0.416721019,,0.448744469,,0.401279405,0.054982801,0.420447101
2014,Eilean Siar,0.062533202,0.076812782,,0.030271465,,-0.017482595,-0.033243757,0.032330287
2014,Falkirk,0.249550741,0.277089606,,0.247589515,,0.201755182,-0.100320799,0.220549544
2014,Fife,0.336733699,0.358750087,,0.337473254,,0.272734222,-0.117002884,0.332557315
2014,Glasgow City,0.220311102,0.210702322,,0.280574284,,0.201627466,-0.10655819,0.241178579
2014,Highland,0.213035402,0.23295302,,0.251992319,,0.209755204,-0.096089638,0.22745162
2014,Inverclyde,0.324005282,0.34221662,,0.320806381,,0.261639105,-0.230058445,0.356511096
2014,Midlothian,0.250567465,0.265169582,,0.253605605,,0.162004783,-0.115983802,0.24401731
2014,Moray,0.143503238,0.156441228,,0.106404019,,0.047897826,-0.029592622,0.134084005
2014,North Ayrshire,0.280366394,0.311196531,,0.276352612,,0.199675392,-0.100237645,0.308366315
2014,North Lanarkshire,0.187459695,0.220349511,,0.203132398,,0.161406091,-0.043078627,0.19570029
2014,Orkney Islands,0.113511831,0.027457485,,-0.048898597,,0.095687279,-0.160893235,0.16015012
2014,Perth and Kinross,0.242527552,0.286025062,,0.279554386,,0.236241128,-0.014566167,0.258360695
2014,Renfrewshire,0.295893907,0.348601667,,0.335585442,,0.311846389,-0.022220704,0.343844592
2014,Scottish Borders,0.215222521,0.2055839,,0.229137255,,0.170858274,-0.154370837,0.179711216
2014,Shetland Islands,0.094476025,0.114071339,,0.069202177,,0.034726429,-0.075560488,0.064537087
2014,South Ayrshire,0.252789254,0.324113816,,0.26884615,,0.272075875,-0.008556426,0.273092747
2014,South Lanarkshire,0.22767163,0.256253509,,0.252721247,,0.150348262,-0.075533514,0.247063881
2014,Stirling,0.299505091,0.336448125,,0.345916009,,0.299370189,-0.083133332,0.330002821
2014,West Dunbartonshire,0.179450923,0.214596135,,0.22243504,,0.13036559,-0.023932581,0.178599188
2014,West Lothian,0.234275216,0.252411511,,0.249194247,,0.192553502,-0.016424603,0.221056949
2015,Aberdeen City,0.314117528,0.348755048,,0.332272427,,0.315686241,0.00762623,0.252708825
2015,Aberdeenshire,0.291976631,0.321595253,,0.299621805,,0.216809485,-0.178857145,0.200923296
2015,Angus,0.263205527,0.279602371,,0.272980209,,0.161365566,-0.021801602,0.224383401
2015,Argyll and Bute,0.193330347,0.141665438,,0.165505197,,0.176434851,-0.063233027,0.175656568
2015,Clackmannanshire,0.231138702,0.226765751,,0.233946711,,0.111088988,-0.081811637,0.18659783
2015,Dumfries and Galloway,0.190570293,0.194152,,0.21350005,,0.152078858,-0.047825578,0.139367644
2015,Dundee City,0.279632925,0.296085302,,0.3166092,,0.226514623,-0.049454,0.252015637
