"CPP","Year","Indicator","Type","value"
"North Ayrshire","2016/17","Healthy Birthweight","Raw",90.2777777777778
"Orkney Islands","2016/17","Healthy Birthweight","Raw",92.0454545454545
"Scottish Borders","2016/17","Healthy Birthweight","Raw",91.7620137299771
"Shetland Islands","2016/17","Healthy Birthweight","Raw",87.6984126984127
"South Ayrshire","2016/17","Healthy Birthweight","Raw",88.7473460721868
"South Lanarkshire","2016/17","Healthy Birthweight","Raw",88.7404580152672
"Stirling","2016/17","Healthy Birthweight","Raw",90.2777777777778
"Aberdeen City","2016/17","Healthy Birthweight","Raw",91.0130074891604
"Aberdeenshire","2016/17","Healthy Birthweight","Raw",90.4724409448819
"Argyll and Bute","2016/17","Healthy Birthweight","Raw",88.0597014925373
"Edinburgh, City of","2016/17","Healthy Birthweight","Raw",89.9361022364217
"Renfrewshire","2016/17","Healthy Birthweight","Raw",87.1841155234657
"West Dunbartonshire","2016/17","Healthy Birthweight","Raw",89.3854748603352
"West Lothian","2016/17","Healthy Birthweight","Raw",87.9255319148936
"Angus","2016/17","Healthy Birthweight","Raw",88.7966804979253
"Dundee City","2016/17","Healthy Birthweight","Raw",91.3872452333991
"East Dunbartonshire","2016/17","Healthy Birthweight","Raw",86.1228813559322
"Fife","2016/17","Healthy Birthweight","Raw",87.4929258630447
"Perth and Kinross","2016/17","Healthy Birthweight","Raw",88.9580093312597
"Glasgow City","2016/17","Healthy Birthweight","Raw",87.3287671232877
"North Lanarkshire","2016/17","Healthy Birthweight","Raw",88.1335718545021
"Clackmannanshire","2017/18","Healthy Birthweight","Raw",89.2787524366472
"Dumfries and Galloway","2017/18","Healthy Birthweight","Raw",90.8646003262643
"East Ayrshire","2017/18","Healthy Birthweight","Raw",90.9090909090909
"East Lothian","2017/18","Healthy Birthweight","Raw",87.9955947136564
"East Renfrewshire","2017/18","Healthy Birthweight","Raw",87.3798076923077
"Eilean Siar","2017/18","Healthy Birthweight","Raw",87.9581151832461
"Falkirk","2017/18","Healthy Birthweight","Raw",89.8281786941581
"Highland","2017/18","Healthy Birthweight","Raw",89.8536092882383
"Inverclyde","2017/18","Healthy Birthweight","Raw",87.2340425531915
"Midlothian","2017/18","Healthy Birthweight","Raw",89.1682785299807
"Moray","2017/18","Healthy Birthweight","Raw",91.2988650693569
"North Ayrshire","2017/18","Healthy Birthweight","Raw",89.9059024807528
"Orkney Islands","2017/18","Healthy Birthweight","Raw",86.4197530864197
"Scottish Borders","2017/18","Healthy Birthweight","Raw",89.4273127753304
"Shetland Islands","2017/18","Healthy Birthweight","Raw",83.4146341463415
"South Ayrshire","2017/18","Healthy Birthweight","Raw",88.9380530973451
"South Lanarkshire","2017/18","Healthy Birthweight","Raw",88.2968290290945
"Stirling","2017/18","Healthy Birthweight","Raw",91.005291005291
"Aberdeen City","2017/18","Healthy Birthweight","Raw",90.3526550466153
"Aberdeenshire","2017/18","Healthy Birthweight","Raw",90.9090909090909
"Argyll and Bute","2017/18","Healthy Birthweight","Raw",79.3624161073825
"Edinburgh, City of","2017/18","Healthy Birthweight","Raw",90.7491721854305
