"CPP","Year","Indicator","Type","value"
"Falkirk",2015,"Out of Work Benefits","Raw",10.7844488188976
"Falkirk",2016,"Out of Work Benefits","Raw",10.7360157016683
"Falkirk",2017,"Out of Work Benefits","Raw",10.6021505376344
"Falkirk",2018,"Out of Work Benefits","Raw",10.3927522037218
"Falkirk",2019,"Out of Work Benefits","Raw",11.5405669599218
"Falkirk",2020,"Out of Work Benefits","Raw",15.5901960784314
"Fife",2013,"Out of Work Benefits","Raw",13.0440735986307
"Fife",2014,"Out of Work Benefits","Raw",11.9168461869884
"Fife",2015,"Out of Work Benefits","Raw",11.5621761658031
"Fife",2016,"Out of Work Benefits","Raw",11.1007318123117
"Fife",2017,"Out of Work Benefits","Raw",11.1956989247312
"Fife",2018,"Out of Work Benefits","Raw",11.5375323554789
"Fife",2019,"Out of Work Benefits","Raw",12.5288793103448
"Fife",2020,"Out of Work Benefits","Raw",16.4745470232959
"Glasgow City",2013,"Out of Work Benefits","Raw",18.938354521468
"Glasgow City",2014,"Out of Work Benefits","Raw",17.7858845970434
"Glasgow City",2015,"Out of Work Benefits","Raw",16.6764636727016
"Glasgow City",2016,"Out of Work Benefits","Raw",15.9803604436229
"Glasgow City",2017,"Out of Work Benefits","Raw",15.5238638958666
"Glasgow City",2018,"Out of Work Benefits","Raw",15.1345545002261
"Glasgow City",2019,"Out of Work Benefits","Raw",15.3051643192488
"Glasgow City",2020,"Out of Work Benefits","Raw",20.6177975528365
"Highland",2013,"Out of Work Benefits","Raw",9.3262508567512
"Highland",2014,"Out of Work Benefits","Raw",8.63354037267081
"Highland",2015,"Out of Work Benefits","Raw",8.62784286698828
"Highland",2016,"Out of Work Benefits","Raw",8.66275051831375
"Highland",2017,"Out of Work Benefits","Raw",8.84578146611342
"Highland",2018,"Out of Work Benefits","Raw",9.26560332871012
"Highland",2019,"Out of Work Benefits","Raw",9.62630480167015
"Highland",2020,"Out of Work Benefits","Raw",14.0237928621414
"Inverclyde",2013,"Out of Work Benefits","Raw",18.1334622823985
"Inverclyde",2014,"Out of Work Benefits","Raw",16.9902152641879
"Inverclyde",2015,"Out of Work Benefits","Raw",16.0454545454545
"Inverclyde",2016,"Out of Work Benefits","Raw",16.0299401197605
"Inverclyde",2017,"Out of Work Benefits","Raw",16.3915662650602
"Inverclyde",2018,"Out of Work Benefits","Raw",17.4928716904277
"Inverclyde",2019,"Out of Work Benefits","Raw",18.3757700205339
"Inverclyde",2020,"Out of Work Benefits","Raw",21.7365145228216
"Midlothian",2013,"Out of Work Benefits","Raw",11.788785046729
"Midlothian",2014,"Out of Work Benefits","Raw",10.8489871086556
"Midlothian",2015,"Out of Work Benefits","Raw",10.1824817518248
"Midlothian",2016,"Out of Work Benefits","Raw",10.003616636528
"Midlothian",2017,"Out of Work Benefits","Raw",9.45551601423488
