"CPP","Year","child_population"
"Stirling",2012,15922
"Argyll and Bute",2011,14360
"Clackmannanshire",2012,9168
"East Renfrewshire",2013,18015
"Orkney Islands",2004,3760
"West Dunbartonshire",2009,16367
"Fife",2003,66237
"Scottish Borders",2006,19942
"Clackmannanshire",2003,9581
"East Ayrshire",2007,22069
"Dumfries and Galloway",2016,23614
"Fife",2012,64368
"Argyll and Bute",2014,13575
"Perth and Kinross",2006,25130
"Renfrewshire",2007,31341
"East Lothian",2002,18706
"Inverclyde",2013,13241
"Eilean Siar",2002,4900
"Perth and Kinross",2004,24966
"Orkney Islands",2016,3516
"Inverclyde",2016,12851
"Highland",2007,40776
"Orkney Islands",2010,3640
"Moray",2010,16939
"East Lothian",2010,18551
"Renfrewshire",2015,29831
"Shetland Islands",2003,4654
"Stirling",2010,16165
"Aberdeenshire",2003,46894
"Highland",2010,41286
"Shetland Islands",2005,4627
"South Lanarkshire",2014,54888
"Scottish Borders",2015,18975
"Orkney Islands",2014,3508
"Edinburgh, City of",2013,74440
"Stirling",2001,16602
"Aberdeen City",2013,33131
"East Ayrshire",2015,21191
"Highland",2011,41334
"Shetland Islands",2001,4784
"Glasgow City",2009,96562
"Perth and Kinross",2010,25113
"North Lanarkshire",2013,63940
"Aberdeen City",2012,32886
"Falkirk",2004,27963
"East Renfrewshire",2002,19061
"Dundee City",2003,24847
"North Lanarkshire",2008,64672
"North Ayrshire",2010,24677
"Edinburgh, City of",2012,73413
"Midlothian",2004,15933
"Perth and Kinross",2002,25134
"North Ayrshire",2009,25072
"Stirling",2003,16350
"Fife",2006,64787
"Inverclyde",2010,13869
"Clackmannanshire",2007,9544
"Aberdeen City",2005,32455
"East Ayrshire",2004,22900
"South Ayrshire",2013,18074
"Aberdeen City",2011,32232
"North Lanarkshire",2011,64747
"Eilean Siar",2011,4655
"Inverclyde",2015,12966
"Aberdeen City",2006,32225
"East Ayrshire",2011,21555
"Aberdeenshire",2011,47503
"Eilean Siar",2001,4954
"Renfrewshire",2004,31866
"Glasgow City",2004,101580
"South Lanarkshire",2002,58783
"Shetland Islands",2011,4475
"Scottish Borders",2013,19030
"Dundee City",2011,23711
"Aberdeenshire",2004,46881
"Dumfries and Galloway",2015,23676
"Inverclyde",2006,14825
"Perth and Kinross",2011,25107
"Angus",2008,20615
"Fife",2014,64070
"North Lanarkshire",2001,65466
"Scottish Borders",2012,19135
"Edinburgh, City of",2010,71259
"Stirling",2006,16375
"Falkirk",2009,28246
"Edinburgh, City of",2005,69658
"Angus",2014,19676
"South Ayrshire",2012,18261
"Shetland Islands",2008,4426
"North Lanarkshire",2004,64643
