"CPP","Year","Indicator","Type","value"
"Scotland","2012/2013","Crime","Raw",630
"Scotland","2013/2014","Crime","Raw",622
"Scotland","2014/2015","Crime","Raw",591
"Scotland","2015/2016","Crime","Raw",570
"Scotland","2016/2017","Crime","Raw",552
"Scotland","2017/2018","Crime","Raw",561
"Scotland","2018/2019","Crime","Raw",562
"Scotland","2019/2020","Crime","Raw",559
"Scotland","2020/2021","Crime","Raw",548
"Scotland","2021/2022","Crime","Raw",524
"Scottish Borders","2008/2009","Crime","Raw",493
"Scottish Borders","2009/2010","Crime","Raw",433
"Scottish Borders","2010/2011","Crime","Raw",395
"Scottish Borders","2011/2012","Crime","Raw",400
"Scottish Borders","2012/2013","Crime","Raw",334
"Scottish Borders","2013/2014","Crime","Raw",358
"Scottish Borders","2014/2015","Crime","Raw",344
"Scottish Borders","2015/2016","Crime","Raw",326
"Scottish Borders","2016/2017","Crime","Raw",338
"Scottish Borders","2017/2018","Crime","Raw",363
"Scottish Borders","2018/2019","Crime","Raw",400
"Scottish Borders","2019/2020","Crime","Raw",393
"Scottish Borders","2020/2021","Crime","Raw",400
"Scottish Borders","2021/2022","Crime","Raw",425
"Shetland Islands","2008/2009","Crime","Raw",472
"Shetland Islands","2009/2010","Crime","Raw",436
"Shetland Islands","2010/2011","Crime","Raw",369
"Shetland Islands","2011/2012","Crime","Raw",377
"Shetland Islands","2012/2013","Crime","Raw",318
"Shetland Islands","2013/2014","Crime","Raw",239
"Shetland Islands","2014/2015","Crime","Raw",266
"Shetland Islands","2015/2016","Crime","Raw",349
"Shetland Islands","2016/2017","Crime","Raw",232
"Shetland Islands","2017/2018","Crime","Raw",205
"Shetland Islands","2018/2019","Crime","Raw",238
"Shetland Islands","2019/2020","Crime","Raw",274
"Shetland Islands","2020/2021","Crime","Raw",244
"Shetland Islands","2021/2022","Crime","Raw",199
"South Ayrshire","2008/2009","Crime","Raw",739
"South Ayrshire","2009/2010","Crime","Raw",630
"South Ayrshire","2010/2011","Crime","Raw",670
"South Ayrshire","2011/2012","Crime","Raw",621
"South Ayrshire","2012/2013","Crime","Raw",569
"South Ayrshire","2013/2014","Crime","Raw",553
"South Ayrshire","2014/2015","Crime","Raw",549
"South Ayrshire","2015/2016","Crime","Raw",536
"South Ayrshire","2016/2017","Crime","Raw",462
"South Ayrshire","2017/2018","Crime","Raw",503
"South Ayrshire","2018/2019","Crime","Raw",529
"South Ayrshire","2019/2020","Crime","Raw",536
"South Ayrshire","2020/2021","Crime","Raw",491
"South Ayrshire","2021/2022","Crime","Raw",462
"South Lanarkshire","2008/2009","Crime","Raw",740
"South Lanarkshire","2009/2010","Crime","Raw",669
"South Lanarkshire","2010/2011","Crime","Raw",635
"South Lanarkshire","2011/2012","Crime","Raw",604
"South Lanarkshire","2012/2013","Crime","Raw",552
"South Lanarkshire","2013/2014","Crime","Raw",534
"South Lanarkshire","2014/2015","Crime","Raw",521
"South Lanarkshire","2015/2016","Crime","Raw",503
"South Lanarkshire","2016/2017","Crime","Raw",483
"South Lanarkshire","2017/2018","Crime","Raw",518
"South Lanarkshire","2018/2019","Crime","Raw",523
"South Lanarkshire","2019/2020","Crime","Raw",548
"South Lanarkshire","2020/2021","Crime","Raw",552
"South Lanarkshire","2021/2022","Crime","Raw",484
"Stirling","2008/2009","Crime","Raw",744
"Stirling","2009/2010","Crime","Raw",704
"Stirling","2010/2011","Crime","Raw",693
"Stirling","2011/2012","Crime","Raw",725
"Stirling","2012/2013","Crime","Raw",571
"Stirling","2013/2014","Crime","Raw",518
"Stirling","2014/2015","Crime","Raw",562
"Stirling","2015/2016","Crime","Raw",549
"Stirling","2016/2017","Crime","Raw",464
"Stirling","2017/2018","Crime","Raw",452
"Stirling","2018/2019","Crime","Raw",460
"Stirling","2019/2020","Crime","Raw",468
"Stirling","2020/2021","Crime","Raw",476
"Stirling","2021/2022","Crime","Raw",436
"West Dunbartonshire","2008/2009","Crime","Raw",1120
"West Dunbartonshire","2009/2010","Crime","Raw",1012
"West Dunbartonshire","2010/2011","Crime","Raw",963
"West Dunbartonshire","2011/2012","Crime","Raw",948
"West Dunbartonshire","2012/2013","Crime","Raw",802
"West Dunbartonshire","2013/2014","Crime","Raw",692
"West Dunbartonshire","2014/2015","Crime","Raw",659
"West Dunbartonshire","2015/2016","Crime","Raw",645
"West Dunbartonshire","2016/2017","Crime","Raw",607
"West Dunbartonshire","2017/2018","Crime","Raw",572
"West Dunbartonshire","2018/2019","Crime","Raw",623
"West Dunbartonshire","2019/2020","Crime","Raw",636
"West Dunbartonshire","2020/2021","Crime","Raw",736
"West Dunbartonshire","2021/2022","Crime","Raw",601
"West Lothian","2008/2009","Crime","Raw",802
"West Lothian","2009/2010","Crime","Raw",782
"West Lothian","2010/2011","Crime","Raw",633
"West Lothian","2011/2012","Crime","Raw",624
"West Lothian","2012/2013","Crime","Raw",560
"West Lothian","2013/2014","Crime","Raw",596
"West Lothian","2014/2015","Crime","Raw",542
"West Lothian","2015/2016","Crime","Raw",531
"West Lothian","2016/2017","Crime","Raw",519
"West Lothian","2017/2018","Crime","Raw",507
"West Lothian","2018/2019","Crime","Raw",536
"West Lothian","2019/2020","Crime","Raw",519
"West Lothian","2020/2021","Crime","Raw",520
"West Lothian","2021/2022","Crime","Raw",501
