"AreaLabel","CPP","Most_Deprived_Comm","Positive Destinations_2012/13_CPPScore","Child Poverty_2014/15","Child Poverty_2019/20","Child Poverty_2019/20_Change","Crime Rate_2008/09","Crime Rate_2019/20","Crime Rate_2019/20_Change","Depopulation_2008/09","Depopulation_2019/20","Depopulation_2019/20_Change","Early Mortality_2010/11","Early Mortality_2019/20","Early Mortality_2019/20_Change","Emergency Admissions_2008/09","Emergency Admissions_2019/20","Emergency Admissions_2019/20_Change","Out of Work Benefits_2012/13","Out of Work Benefits_2019/20","Out of Work Benefits_2019/20_Change","Positive Destinations_2008/09","Positive Destinations_2012/13","Positive Destinations_2012/13_Change","Attainment_2013/14","Attainment_2019/20","Attainment_2019/20_Change","InterZone_Name"
"West Lothian","West Lothian","3","Faster",19.58,27.54,"Slower",1043,805,"Slower",99.83,99.21,"Slower",594,536,"Slower",33179,33015,"Faster",16.24,20.42,"Faster",76.95,88.38,"Faster",5.1,5.32,"Faster","Dedridge East"
"Aberdeen City","Aberdeen City","4","Faster",16,30.28,"Slower",1075,796,"Slower",89.06,84.21,"Slower",811,788,"Slower",45955,38314,"Faster",11.3,17.17,"Faster",69.98,88.14,"Faster",4.73,5.11,"Faster","Seaton"
"Aberdeenshire","Aberdeenshire","4","Slower",15.93,31.15,"Slower",753,710,"Slower",105.53,121.24,"Slower",564,538,"Slower",30108,24570,"Faster",14.31,24.16,"Slower",88.96,87.56,"Slower",4.64,4.17,"Slower","Fraserburgh Lochpots"
"Angus","Angus","4","Slower",18.96,31.51,"Slower",994,524,"Faster",98.22,101.11,"Slower",546,585,"Slower",28571,23471,"Faster",15.61,25.98,"Slower",92.2,96.62,"Slower",5.11,5.03,"Slower","Brechin East"
"Argyll and Bute","Argyll and Bute","4","Faster",10.3,18.02,"Slower",1379,629,"Faster",108.27,115.71,"Slower",470,453,"Slower",25661,24242,"Slower",14.64,17.12,"Faster",76.5,85,"Faster",5.61,5.85,"Faster","Helensburgh Centre"
"Clackmannanshire","Clackmannanshire","4","Slower",15.52,21.14,"Slower",569,382,"Slower",95.84,96.22,"Slower",493,450,"Faster",24014,27100,"Faster",13.96,17.26,"Faster",80.51,87.21,"Faster",5.32,5.28,"Slower","Alloa North"
"Dumfries and Galloway","Dumfries and Galloway","4","Faster",21.12,24.81,"Faster",1809,2231,"Slower",93.82,92.58,"Faster",597,721,"Slower",30769,35744,"Slower",22.94,28.86,"Faster",81.32,91.36,"Faster",5.4,5.18,"Slower","Dumfries Central"
"Dundee City","Dundee City","4","Faster",27.4,28.64,"Faster",4090,2601,"Slower",88.28,71.13,"Faster",728,930,"Slower",22821,19255,"Faster",15.27,14.75,"Faster",77.8,100,"Faster",5.03,5.29,"Faster","City Centre"
"East Ayrshire","East Ayrshire","4","Faster",21.71,31.37,"Slower",984,752,"Slower",93.33,97.37,"Slower",653,546,"Faster",32659,33660,"Faster",19.61,28.49,"Slower",74.63,92.84,"Faster",4.98,4.87,"Slower","Auchinleck"
"East Dunbartonshire","East Dunbartonshire","4","Faster",15.32,15.31,"Faster",538,194,"Faster",103.48,106.15,"Slower",355,283,"Faster",30116,26951,"Faster",10.74,15.66,"Slower",81,93.2,"Faster",5.73,5.71,"Slower","East Clober and Mains Estate"
"East Lothian","East Lothian","4","Faster",15.51,22.05,"Slower",841,633,"Slower",100.37,74.57,"Faster",572,422,"Faster",26257,21979,"Faster",14.68,18.29,"Faster",77.55,84.54,"Faster",5.1,4.95,"Slower","Prestonpans North"
"East Renfrewshire","East Renfrewshire","4","Faster",15.12,16.23,"Faster",582,238,"Faster",103.19,103.12,"Slower",481,420,"Slower",24058,24506,"Faster",10.85,14.57,"Faster",87.3,96.7,"Faster",5.88,5.84,"Slower","West Arthurlie and North Neilston"
"Edinburgh, City of","Edinburgh, City of","4","Faster",24.15,37.64,"Slower",2567,815,"Faster",81.86,64.4,"Faster",880,779,"Slower",21469,30612,"Slower",26.56,27.12,"Faster",61.4,80,"Faster",4.68,4.87,"Faster","Clovenstone and Wester Hailes"
"Eilean Siar","Eilean Siar","4","Faster",8.74,16.9,"Slower",172,18,"Faster",99.83,100.72,"Faster",387,297,"Faster",23498,19284,"Faster",9.61,15,"Slower",78.11,96.7,"Faster",5.57,5.88,"Faster","South Lewis"
"Falkirk","Falkirk","4","Faster",24.3,28.32,"Faster",847,497,"Faster",107.16,115.48,"Slower",609,633,"Slower",30115,30790,"Faster",18.77,24.56,"Faster",69.6,91.3,"Faster",5.11,5.43,"Faster","Grangemouth - Bowhouse"
"Fife","Fife","4","Slower",23.69,32.96,"Slower",1546,1176,"Slower",96.48,91.82,"Faster",634,790,"Slower",22241,33333,"Slower",21.59,26.94,"Faster",79.22,82.03,"Faster",4.6,4.71,"Faster","Kirkcaldy Hayfield and Smeaton"
"Glasgow City","Glasgow City","4","Faster",18.9,29.96,"Slower",14152,8206,"Slower",53.71,27.56,"Faster",822,783,"Slower",44516,21143,"Faster",10.19,17.18,"Slower",81.62,92.86,"Faster",3.89,5.27,"Faster","City Centre South"
"Highland","Highland","4","Faster",19.84,28.09,"Slower",1813,711,"Faster",103.6,112.35,"Slower",558,563,"Slower",30745,27086,"Faster",16.31,22.4,"Faster",63,91.92,"Faster",5.06,5.06,"Slower","Wick South"
"Inverclyde","Inverclyde","4","Faster",18.49,26.19,"Slower",767,425,"Faster",105.98,117.44,"Slower",581,608,"Slower",26375,28145,"Faster",22.95,27.13,"Faster",80.44,92.36,"Faster",5.16,5.45,"Faster","Port Glasgow Upper East"
"Midlothian","Midlothian","4","Faster",20.08,23.3,"Faster",975,683,"Faster",105.17,106.21,"Slower",590,517,"Faster",28020,35356,"Slower",17.05,22.78,"Faster",76.32,88.44,"Faster",5.12,5.14,"Slower","Mayfield"
"Moray","Moray","4","Faster",19.47,22.71,"Faster",600,285,"Slower",98.7,103.12,"Slower",452,419,"Slower",22707,18664,"Faster",11.85,17.16,"Faster",63.94,96.09,"Faster",5.38,4.93,"Slower","Forres South West and Mannachie"
"North Ayrshire","North Ayrshire","4","Faster",23.23,37.15,"Slower",1048,778,"Slower",98.27,101.11,"Slower",770,561,"Faster",23748,35223,"Slower",23.25,29.93,"Faster",70.2,92.5,"Faster",5.12,5.19,"Slower","Stevenston Hayocks"
"North Lanarkshire","North Lanarkshire","4","Slower",24.06,36.81,"Slower",1933,1608,"Slower",104.17,108.59,"Slower",790,778,"Slower",28243,42487,"Slower",27.88,32.16,"Faster",88.48,85.24,"Slower",5.2,5.38,"Faster","Motherwell South"
"Orkney Islands","Orkney Islands","4","Slower",20.24,24.75,"Faster",169,38,"Faster",93.97,94.5,"Slower",345,361,"Slower",17401,15132,"Slower",9.14,11.78,"Faster",95.84,87.53,"Slower",5.7,5.63,"Slower","Isles"
"Perth and Kinross","Perth and Kinross","4","Faster",25.33,25.9,"Faster",2113,1100,"Faster",84.82,76.28,"Faster",685,582,"Faster",33790,30819,"Faster",12.92,17.39,"Faster",93.3,84.2,"Slower",5.44,5.38,"Slower","North Inch"
"Renfrewshire","Renfrewshire","4","Faster",15.87,23.48,"Slower",2121,1587,"Slower",92.71,73.11,"Faster",924,667,"Faster",29362,32841,"Slower",20.42,24.96,"Faster",76.29,78.82,"Slower",5.22,5.24,"Slower","Paisley North"
"Scottish Borders","Scottish Borders","4","Faster",17.06,26.02,"Slower",846,447,"Faster",95.48,96,"Slower",478,418,"Faster",21521,23502,"Slower",13.77,18.78,"Faster",82.62,82.59,"Slower",5.08,5.18,"Faster","Eyemouth"
"Shetland Islands","Shetland Islands","4","Faster",3.88,9.06,"Slower",112,47,"Faster",96.59,85.82,"Faster",515,193,"Faster",20501,16317,"Faster",4.79,8.1,"Slower",86.5,92.3,"Faster",5.62,5.61,"Slower","Central Shetland"
